received_timestamp,entry_timestamp,dispatch_timestamp,response_timestamp,on_scene_timestamp,zipcode_of_incident,battalion,final_priority,als_unit,call_type_group,unit_type,location,latitude,longitude,number_of_alarms
2018-01-24 15:14:20.000000 UTC,2018-01-24 15:17:10.000000 UTC,2018-01-24 15:20:17.000000 UTC,2018-01-24 15:21:48.000000 UTC,2018-01-24 15:25:23.000000 UTC,94158,B03,2,TRUE,Non Life-threatening,ENGINE,"(37.77578731465349, -122.39335512639906)",37.77578731,-122.3933551,1
2018-01-24 21:24:04.000000 UTC,2018-01-24 21:26:46.000000 UTC,2018-01-24 21:27:13.000000 UTC,2018-01-24 21:27:56.000000 UTC,2018-01-24 21:32:48.000000 UTC,94102,B99,3,FALSE,Alarm,ENGINE,"(37.776849572629885, -122.42135124613577)",37.77684957,-122.4213512,1
2018-01-24 04:19:20.000000 UTC,2018-01-24 04:21:55.000000 UTC,2018-01-24 04:22:02.000000 UTC,2018-01-24 04:23:53.000000 UTC,2018-01-24 04:27:03.000000 UTC,94107,B03,3,TRUE,Alarm,ENGINE,"(37.78299264907175, -122.39052852857169)",37.78299265,-122.3905285,1
2018-01-24 07:24:45.000000 UTC,2018-01-24 07:25:53.000000 UTC,2018-01-24 07:26:18.000000 UTC,2018-01-24 07:27:15.000000 UTC,2018-01-24 07:30:34.000000 UTC,94110,B02,3,TRUE,Potentially Life-Threatening,ENGINE,"(37.76272932013022, -122.42295842557121)",37.76272932,-122.4229584,1
2018-01-24 10:25:47.000000 UTC,2018-01-24 10:27:51.000000 UTC,2018-01-24 10:28:31.000000 UTC,2018-01-24 10:28:39.000000 UTC,2018-01-24 10:41:44.000000 UTC,94102,B02,2,TRUE,Non Life-threatening,MEDIC,"(37.7817609081004, -122.41510513501424)",37.78176091,-122.4151051,1
2018-01-24 14:36:10.000000 UTC,2018-01-24 14:38:19.000000 UTC,2018-01-24 14:38:48.000000 UTC,2018-01-24 14:39:55.000000 UTC,,94114,B05,3,FALSE,Potentially Life-Threatening,RESCUE SQUAD,"(37.764951660709535, -122.431937558766)",37.76495166,-122.4319376,1
2018-01-24 18:49:47.000000 UTC,2018-01-24 18:50:31.000000 UTC,2018-01-24 18:53:15.000000 UTC,2018-01-24 18:53:15.000000 UTC,2018-01-24 18:57:34.000000 UTC,94109,B04,3,TRUE,Potentially Life-Threatening,MEDIC,"(37.78548120464467, -122.42120351200009)",37.7854812,-122.4212035,1
2018-01-24 23:57:45.000000 UTC,2018-01-24 23:57:45.000000 UTC,2018-01-25 00:02:49.000000 UTC,2018-01-25 00:02:54.000000 UTC,2018-01-25 00:06:06.000000 UTC,94109,B02,2,TRUE,Non Life-threatening,MEDIC,"(37.783567784008795, -122.41927343496383)",37.78356778,-122.4192734,1
2018-01-24 23:52:02.000000 UTC,2018-01-24 23:52:02.000000 UTC,2018-01-24 23:52:21.000000 UTC,2018-01-24 23:52:51.000000 UTC,2018-01-24 23:56:29.000000 UTC,94109,B04,3,FALSE,Alarm,ENGINE,"(37.798602782885936, -122.4231486020576)",37.79860278,-122.4231486,1
2018-01-24 07:14:40.000000 UTC,2018-01-24 07:16:43.000000 UTC,2018-01-24 07:20:49.000000 UTC,2018-01-24 07:22:47.000000 UTC,2018-01-24 07:35:13.000000 UTC,94114,B05,2,TRUE,Potentially Life-Threatening,MEDIC,"(37.764951660709535, -122.431937558766)",37.76495166,-122.4319376,1
2018-01-24 10:18:16.000000 UTC,2018-01-24 10:21:07.000000 UTC,2018-01-24 10:21:21.000000 UTC,2018-01-24 10:21:52.000000 UTC,2018-01-24 10:32:06.000000 UTC,94110,B10,2,FALSE,Potentially Life-Threatening,PRIVATE,"(37.757307610017534, -122.40661980269415)",37.75730761,-122.4066198,1
2018-01-24 22:16:57.000000 UTC,2018-01-24 22:18:58.000000 UTC,2018-01-24 22:19:15.000000 UTC,2018-01-24 22:21:06.000000 UTC,2018-01-24 22:23:03.000000 UTC,94110,B06,3,FALSE,Alarm,TRUCK,"(37.75436287632656, -122.42321608842015)",37.75436288,-122.4232161,1
2018-01-24 17:56:24.000000 UTC,2018-01-24 17:59:47.000000 UTC,2018-01-24 18:00:29.000000 UTC,2018-01-24 18:02:06.000000 UTC,2018-01-24 18:20:16.000000 UTC,94105,B03,2,TRUE,Non Life-threatening,ENGINE,"(37.79196280536014, -122.39324301440674)",37.79196281,-122.393243,1
2018-01-24 13:05:33.000000 UTC,2018-01-24 13:06:27.000000 UTC,2018-01-24 13:07:02.000000 UTC,2018-01-24 13:07:30.000000 UTC,,94109,B04,2,FALSE,Potentially Life-Threatening,PRIVATE,"(37.79057825825789, -122.42068738311482)",37.79057826,-122.4206874,1
2018-01-24 20:09:34.000000 UTC,2018-01-24 20:10:58.000000 UTC,2018-01-24 20:11:18.000000 UTC,2018-01-24 20:12:42.000000 UTC,2018-01-24 20:14:49.000000 UTC,94107,B03,3,TRUE,Potentially Life-Threatening,ENGINE,"(37.77762423892872, -122.39998111124002)",37.77762424,-122.3999811,1
2018-01-24 23:52:02.000000 UTC,2018-01-24 23:52:02.000000 UTC,2018-01-24 23:52:21.000000 UTC,2018-01-24 23:53:20.000000 UTC,,94109,B04,3,FALSE,Alarm,TRUCK,"(37.798602782885936, -122.4231486020576)",37.79860278,-122.4231486,1
2018-01-24 06:21:46.000000 UTC,2018-01-24 06:23:55.000000 UTC,2018-01-24 06:24:18.000000 UTC,2018-01-24 06:26:40.000000 UTC,2018-01-24 06:28:10.000000 UTC,94114,B06,3,FALSE,Potentially Life-Threatening,ENGINE,"(37.752102370620584, -122.4406650464359)",37.75210237,-122.440665,1
2018-01-24 20:23:03.000000 UTC,2018-01-24 20:23:31.000000 UTC,2018-01-24 20:23:44.000000 UTC,2018-01-24 20:24:27.000000 UTC,2018-01-24 20:24:28.000000 UTC,94102,B03,3,TRUE,Potentially Life-Threatening,MEDIC,"(37.78284503447399, -122.41322176673785)",37.78284503,-122.4132218,1
2018-01-24 18:32:04.000000 UTC,2018-01-24 18:34:19.000000 UTC,2018-01-24 18:35:40.000000 UTC,2018-01-24 18:35:44.000000 UTC,,94102,B03,2,TRUE,Non Life-threatening,MEDIC,"(37.78491618436334, -122.41195004222199)",37.78491618,-122.41195,1
2018-01-24 04:37:30.000000 UTC,2018-01-24 04:39:50.000000 UTC,2018-01-24 04:40:22.000000 UTC,2018-01-24 04:41:11.000000 UTC,2018-01-24 04:54:19.000000 UTC,94102,B02,3,FALSE,Potentially Life-Threatening,PRIVATE,"(37.782337590077724, -122.41389135199492)",37.78233759,-122.4138914,1
2018-01-24 00:49:37.000000 UTC,2018-01-24 00:50:33.000000 UTC,2018-01-24 00:54:18.000000 UTC,2018-01-24 00:54:40.000000 UTC,2018-01-24 00:56:06.000000 UTC,94115,B02,3,TRUE,Potentially Life-Threatening,ENGINE,"(37.78086621047984, -122.42880323800273)",37.78086621,-122.4288032,1
2018-01-24 18:19:27.000000 UTC,2018-01-24 18:20:58.000000 UTC,2018-01-24 18:21:42.000000 UTC,2018-01-24 18:23:24.000000 UTC,2018-01-24 18:30:20.000000 UTC,94103,B02,2,TRUE,Potentially Life-Threatening,ENGINE,"(37.77305345322805, -122.41861821745897)",37.77305345,-122.4186182,1
2018-01-24 16:30:08.000000 UTC,2018-01-24 16:30:08.000000 UTC,2018-01-24 16:30:58.000000 UTC,,,94102,B03,3,TRUE,Potentially Life-Threatening,ENGINE,"(37.78305496817075, -122.41157729927947)",37.78305497,-122.4115773,1
2018-01-24 20:04:15.000000 UTC,2018-01-24 20:05:12.000000 UTC,2018-01-24 20:05:24.000000 UTC,2018-01-24 20:07:01.000000 UTC,2018-01-24 20:10:54.000000 UTC,94109,B04,3,FALSE,Alarm,CHIEF,"(37.79031930341935, -122.4231629067995)",37.7903193,-122.4231629,1
2018-01-24 19:30:32.000000 UTC,2018-01-24 19:32:38.000000 UTC,2018-01-24 19:35:32.000000 UTC,2018-01-24 19:35:39.000000 UTC,2018-01-24 19:44:34.000000 UTC,94110,B02,2,TRUE,Non Life-threatening,MEDIC,"(37.764373209666395, -122.41747849146803)",37.76437321,-122.4174785,1
2018-01-24 15:13:44.000000 UTC,2018-01-24 15:14:04.000000 UTC,2018-01-24 15:14:23.000000 UTC,2018-01-24 15:16:19.000000 UTC,2018-01-24 15:19:47.000000 UTC,94105,B03,3,TRUE,Potentially Life-Threatening,ENGINE,"(37.787381979573674, -122.39647798117049)",37.78738198,-122.396478,1
2018-01-24 14:12:47.000000 UTC,2018-01-24 14:12:47.000000 UTC,2018-01-24 14:14:07.000000 UTC,2018-01-24 14:14:36.000000 UTC,2018-01-24 14:20:07.000000 UTC,94102,B01,3,TRUE,Potentially Life-Threatening,MEDIC,"(37.78808218628792, -122.41005693094915)",37.78808219,-122.4100569,1
2018-01-24 14:25:21.000000 UTC,2018-01-24 14:26:52.000000 UTC,2018-01-24 14:27:24.000000 UTC,2018-01-24 14:28:13.000000 UTC,2018-01-24 14:30:19.000000 UTC,94109,B01,3,TRUE,Potentially Life-Threatening,ENGINE,"(37.787756620339685, -122.4130557133315)",37.78775662,-122.4130557,1
2018-01-24 11:54:29.000000 UTC,2018-01-24 11:56:06.000000 UTC,2018-01-24 11:57:55.000000 UTC,2018-01-24 11:58:03.000000 UTC,2018-01-24 12:07:44.000000 UTC,94108,B01,3,TRUE,Non Life-threatening,MEDIC,"(37.7945266519311, -122.41136404551958)",37.79452665,-122.411364,1
2018-01-24 19:35:15.000000 UTC,2018-01-24 19:35:58.000000 UTC,2018-01-24 19:36:15.000000 UTC,2018-01-24 19:37:04.000000 UTC,,94118,B07,3,FALSE,Alarm,CHIEF,"(37.77428383647135, -122.4670880867804)",37.77428384,-122.4670881,1
2018-01-24 17:30:01.000000 UTC,2018-01-24 17:31:17.000000 UTC,2018-01-24 17:32:06.000000 UTC,2018-01-24 17:32:47.000000 UTC,2018-01-24 17:33:53.000000 UTC,94158,B03,3,FALSE,Potentially Life-Threatening,ENGINE,"(37.76799244718762, -122.39439150739499)",37.76799245,-122.3943915,1
2018-01-24 11:51:21.000000 UTC,2018-01-24 11:53:39.000000 UTC,2018-01-24 11:54:22.000000 UTC,2018-01-24 11:55:01.000000 UTC,,94102,B02,2,FALSE,Potentially Life-Threatening,PRIVATE,"(37.78144749400219, -122.41714561341122)",37.78144749,-122.4171456,1
2018-01-24 14:33:15.000000 UTC,2018-01-24 14:34:29.000000 UTC,2018-01-24 15:30:33.000000 UTC,2018-01-24 15:30:33.000000 UTC,2018-01-24 15:30:33.000000 UTC,94117,B05,3,FALSE,Fire,SUPPORT,"(37.77025923403998, -122.43183229992738)",37.77025923,-122.4318323,1
2018-01-24 22:25:09.000000 UTC,2018-01-24 22:26:57.000000 UTC,2018-01-24 22:27:03.000000 UTC,2018-01-24 22:28:31.000000 UTC,,94131,B06,3,FALSE,Alarm,CHIEF,"(37.746910227518626, -122.42582381299498)",37.74691023,-122.4258238,1
2018-01-24 18:00:17.000000 UTC,2018-01-24 18:00:17.000000 UTC,2018-01-24 18:13:30.000000 UTC,2018-01-24 18:16:07.000000 UTC,,94117,B05,3,FALSE,Potentially Life-Threatening,ENGINE,"(37.77842247634187, -122.43340733529733)",37.77842248,-122.4334073,1
2018-01-24 14:33:15.000000 UTC,2018-01-24 14:34:29.000000 UTC,2018-01-24 14:34:43.000000 UTC,2018-01-24 14:35:20.000000 UTC,2018-01-24 14:40:19.000000 UTC,94117,B05,3,FALSE,Fire,RESCUE SQUAD,"(37.77025923403998, -122.43183229992738)",37.77025923,-122.4318323,1
2018-01-24 08:35:12.000000 UTC,2018-01-24 08:35:38.000000 UTC,2018-01-24 08:35:59.000000 UTC,2018-01-24 08:36:05.000000 UTC,2018-01-24 08:40:10.000000 UTC,94102,B02,3,TRUE,Potentially Life-Threatening,MEDIC,"(37.781585403105, -122.42309018884136)",37.7815854,-122.4230902,1
2018-01-24 13:10:51.000000 UTC,2018-01-24 13:11:15.000000 UTC,2018-01-24 13:11:40.000000 UTC,2018-01-24 13:12:32.000000 UTC,2018-01-24 13:14:52.000000 UTC,94112,B09,3,TRUE,Potentially Life-Threatening,ENGINE,"(37.72378784772754, -122.43644931451543)",37.72378785,-122.4364493,1
2018-01-24 07:54:49.000000 UTC,2018-01-24 07:54:49.000000 UTC,2018-01-24 07:57:05.000000 UTC,2018-01-24 07:57:22.000000 UTC,2018-01-24 08:09:49.000000 UTC,94124,B10,2,TRUE,Non Life-threatening,MEDIC,"(37.73311383876522, -122.39441916044255)",37.73311384,-122.3944192,1
2018-01-24 21:38:41.000000 UTC,2018-01-24 21:41:30.000000 UTC,2018-01-24 21:41:41.000000 UTC,2018-01-24 21:42:09.000000 UTC,2018-01-24 21:52:28.000000 UTC,94107,B03,2,FALSE,Potentially Life-Threatening,PRIVATE,"(37.78299264907175, -122.39052852857169)",37.78299265,-122.3905285,1
2018-01-24 23:15:04.000000 UTC,2018-01-24 23:18:27.000000 UTC,2018-01-24 23:18:32.000000 UTC,2018-01-24 23:19:23.000000 UTC,,94103,B03,3,FALSE,Alarm,TRUCK,"(37.77991166933496, -122.40747443962437)",37.77991167,-122.4074744,1
2018-01-24 20:03:08.000000 UTC,2018-01-24 20:05:36.000000 UTC,2018-01-24 20:05:57.000000 UTC,2018-01-24 20:07:51.000000 UTC,2018-01-24 20:09:00.000000 UTC,94107,B03,3,FALSE,Alarm,TRUCK,"(37.77732776352611, -122.39308855968541)",37.77732776,-122.3930886,1
2018-01-24 18:17:15.000000 UTC,2018-01-24 18:17:53.000000 UTC,2018-01-24 18:23:57.000000 UTC,2018-01-24 18:23:57.000000 UTC,2018-01-24 18:23:57.000000 UTC,94103,B03,3,FALSE,Potentially Life-Threatening,PRIVATE,"(37.78013037449471, -122.40987144993309)",37.78013037,-122.4098714,1
